latitud,provincia,altitud,indicativo,nombre,indsinop,longitud,codigo_postal
394924N,ILLES BALEARS,490,B013X,"ESCORCA, LLUC",08304,025309E,07315
394744N,ILLES BALEARS,5,B051A,"SÓLLER, PUERTO",08316,024129E,07108
393446N,ILLES BALEARS,52,B103B,ANDRATX - SANT ELM,,022208E,07159
393305N,ILLES BALEARS,50,B158X,"CALVIÀ, ES CAPDELLÀ",,022759E,07160
394121N,ILLES BALEARS,60,B087X,BANYALBUFAR,,023046E,07191
393315N,ILLES BALEARS,3,B228,"PALMA, PUERTO",08301,023731E,07014
394406N,ILLES BALEARS,1030,B248,"SIERRA DE ALFABIA, BUNYOLA",08303,024247E,07100
393621N,BALEARES,47,B275E,"SON BONET, AEROPUERTO",08302,024224E,07141
393832N,ILLES BALEARS,95,B236C,"PALMA, UNIVERSITAT",,023838E,07122
392247N,ILLES BALEARS,113,B301,"LLUCMAJOR, CAP BLANC",08308,024706E,
392944N,ILLES BALEARS,140,B334X,LLUCMAJOR,,025330E,07620
393339N,BALEARES,5,B278,"PALMA DE MALLORCA, AEROPUERTO",08306,024412E,07610
392104N,ILLES BALEARS,3,B373X,"CAMPOS, SALINES LLEVANT",,030043E,07638
393022N,ILLES BALEARS,149,B341X,PORRERES,,030020E,07260
393118N,ILLES BALEARS,120,B346X,PORRERES,08310,030109E,07260
392421N,ILLES BALEARS,40,B362X,"CAMPOS, CAN SION",,030351E,
390808N,ILLES BALEARS,165,B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",,025612E,
392024N,ILLES BALEARS,45,B410B,SANTANYÍ,,030845E,07690
392452N,ILLES BALEARS,17,B434X,PORTOCOLOM  ,08309,031618E,07670
393749N,ILLES BALEARS,25,B496X,SON SERVERA,,032301E,07559
394119N,ILLES BALEARS,110,B526X,ARTÀ,,032104E,07570
394748N,ILLES BALEARS,2,B605X,"MURO, S'ALBUFERA",,030617E,07408
394323N,ILLES BALEARS,99,B603X,ARTÀ-COLÒNIA DE SANT PERE,,031643E,07579
394300N,ILLES BALEARS,57,B569X,CAPDEPERA,08311,032841E,07590
393659N,ILLES BALEARS,95,B640X,PETRA,,030716E,07520
393325N,ILLES BALEARS,100,B614E,MANACOR,,031304E,07500
393909N,ILLES BALEARS,121,B656A,SANTA MARÍA DEL CAMÍ,,024801E,07330
