,latitud,provincia,altitud,indicativo,nombre,indsinop,longitud,latitud_dd,longitud_dd,codigo_postal
0,394924N,ILLES BALEARS,490,B013X,"ESCORCA, LLUC",08304,025309E,39.82333333333334,25.5025,
1,394744N,ILLES BALEARS,5,B051A,"SÓLLER, PUERTO",08316,024129E,39.79555555555555,24.2025,
2,393446N,ILLES BALEARS,52,B103B,ANDRATX - SANT ELM,,022208E,39.57944444444445,22.335555555555555,
3,393305N,ILLES BALEARS,50,B158X,"CALVIÀ, ES CAPDELLÀ",,022759E,39.55138888888889,23.2525,
4,394121N,ILLES BALEARS,60,B087X,BANYALBUFAR,,023046E,39.689166666666665,23.06833333333333,
5,393315N,ILLES BALEARS,3,B228,"PALMA, PUERTO",08301,023731E,39.55416666666667,24.216944444444444,
6,394406N,ILLES BALEARS,1030,B248,"SIERRA DE ALFABIA, BUNYOLA",08303,024247E,39.735,24.401944444444442,
7,393621N,BALEARES,47,B275E,"SON BONET, AEROPUERTO",08302,024224E,39.60583333333334,24.36777777777778,
8,393832N,ILLES BALEARS,95,B236C,"PALMA, UNIVERSITAT",,023838E,39.64222222222222,24.385555555555555,
9,392247N,ILLES BALEARS,113,B301,"LLUCMAJOR, CAP BLANC",08308,024706E,39.37972222222222,25.168333333333333,
10,392944N,ILLES BALEARS,140,B334X,LLUCMAJOR,,025330E,39.495555555555555,25.55,
11,393339N,BALEARES,5,B278,"PALMA DE MALLORCA, AEROPUERTO",08306,024412E,39.56083333333333,24.683888888888887,
12,392104N,ILLES BALEARS,3,B373X,"CAMPOS, SALINES LLEVANT",,030043E,39.35111111111111,30.0675,
13,393022N,ILLES BALEARS,149,B341X,PORRERES,,030020E,39.50611111111111,30.033333333333335,
14,393118N,ILLES BALEARS,120,B346X,PORRERES,08310,030109E,39.52166666666667,30.16916666666667,
15,392421N,ILLES BALEARS,40,B362X,"CAMPOS, CAN SION",,030351E,39.405833333333334,30.58361111111111,
16,390808N,ILLES BALEARS,165,B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",,025612E,39.135555555555555,26.01722222222222,
17,392024N,ILLES BALEARS,45,B410B,SANTANYÍ,,030845E,39.34,31.40138888888889,
18,392452N,ILLES BALEARS,17,B434X,PORTOCOLOM  ,08309,031618E,39.41444444444444,32.01888888888889,
19,393749N,ILLES BALEARS,25,B496X,SON SERVERA,,032301E,39.63027777777778,32.500277777777775,
20,394119N,ILLES BALEARS,110,B526X,ARTÀ,,032104E,39.68861111111111,32.16777777777777,
21,394748N,ILLES BALEARS,2,B605X,"MURO, S'ALBUFERA",,030617E,39.79666666666667,31.01861111111111,
22,394323N,ILLES BALEARS,99,B603X,ARTÀ-COLÒNIA DE SANT PERE,,031643E,39.723055555555554,32.0675,
23,394300N,ILLES BALEARS,57,B569X,CAPDEPERA,08311,032841E,39.71666666666667,33.400277777777774,
24,393659N,ILLES BALEARS,95,B640X,PETRA,,030716E,39.61638888888889,31.185,
25,393325N,ILLES BALEARS,100,B614E,MANACOR,,031304E,39.55694444444444,31.50111111111111,
26,393909N,ILLES BALEARS,121,B656A,SANTA MARÍA DEL CAMÍ,,024801E,39.652499999999996,25.33361111111111,
27,393836N,ILLES BALEARS,120,B644B,SINEU,,030008E,39.64333333333333,30.002222222222223,
28,394041N,ILLES BALEARS,105,B662X,BINISSALEM,,025226E,39.67805555555555,25.368333333333332,
29,394454N,BALEARES,40,B691,LA PUEBLA (SA CANOVA),,030055E,39.748333333333335,30.084722222222222,
30,394734N,ILLES BALEARS,842,B684A,"ESCORCA, SON TORRELLA",,024716E,39.79277777777778,25.185,
31,395237N,ILLES BALEARS,45,B760X,POLLENÇA,,030127E,39.87694444444445,30.201944444444443,
32,395234N,ILLES BALEARS,78,B800X,"LA MOLA, MAÓ",,041926E,39.876111111111115,42.535,
33,394457N,BALEARES,32,B691Y,SA POBLA,08312,030100E,39.74916666666667,30.166666666666668,
34,395434N,ILLES BALEARS,2,B780X,PORT DE POLLENÇA,,030601E,39.909444444444446,31.00027777777778,
35,395641N,ILLES BALEARS,43,B870C,"CIUTADELLA, CALA GALDANA",,035724E,39.94472222222222,36.20111111111111,
36,395934N,ILLES BALEARS,20,B860X,CIUTADELLA,,035114E,39.99277777777778,35.18444444444444,
37,395117N,BALEARES,91,B893,"MENORCA, AEROPUERTO",08314,041256E,39.85472222222222,41.41833333333333,
38,395926N,ILLES BALEARS,80,B825B,ES MERCADAL,,040511E,39.99055555555556,40.85027777777778,
39,385747N,ILLES BALEARS,32,B925,SANT ANTONI DE PORTMANY,,011917E,38.963055555555556,12.51861111111111,
40,385522N,ILLES BALEARS,3,B957,EIVISSA,,012629E,38.922777777777775,13.035833333333333,
41,390322N,ILLES BALEARS,110,B908X,SANT JOAN DE LABRITJA,,012933E,39.05611111111111,13.550833333333333,
42,385235N,ILLES BALEARS,6,B954,"IBIZA, AEROPUERTO",08373,012304E,38.87638888888889,12.501111111111111,
43,285811N,LAS PALMAS,376,C018J,TÍAS,,134125W,28.96972222222222,-134.20138888888889,
44,384137N,ILLES BALEARS,24,B986,FORMENTERA,,012749E,38.69361111111111,13.235833333333334,
45,285132N,LAS PALMAS,6,C019V,YAIZA PLAYA BLANCA,,135006W,28.85888888888889,-135.00166666666667,
46,285707N,LAS PALMAS,14,C029O,LANZAROTE AEROPUERTO,60040,133601W,28.951944444444443,-134.00027777777777,
47,290837N,LAS PALMAS,277,C038N,HARÍA,,132921W,29.14361111111111,-133.5336111111111,
48,284521N,STA. CRUZ DE TENERIFE,2223,C101A,ROQUE DE LOS MUCHACHOS,,175343W,28.75583333333333,-175.5675,
49,290233N,LAS PALMAS,275,C048W,TINAJO,,134051W,29.0425,-134.0836111111111,
50,283545N,STA. CRUZ DE TENERIFE,62,C129Z,TAZACORTE,60004,175455W,28.59583333333333,-175.7513888888889,
51,284029N,STA. CRUZ DE TENERIFE,733,C117Z,TIJARAFE,,175612W,28.674722222222222,-176.01722222222224,
52,283914N,STA. CRUZ DE TENERIFE,844,C126A,EL PASO,,175111W,28.653888888888886,-175.1836111111111,
53,282718N,STA. CRUZ DE TENERIFE,19,C129V,FUENCALIENTE,,175028W,28.455,-175.03555555555556,
54,284538N,STA. CRUZ DE TENERIFE,684,C117A,PUNTAGORDA,,175908W,28.760555555555555,-176.50222222222223,
55,281231N,LAS PALMAS,1,C239N,"TUINEJE,PUERTO GRAN TARAJAL",,140123W,28.20861111111111,-140.20083333333332,
56,280257N,LAS PALMAS,15,C229J,PÁJARA,,142129W,28.049166666666668,-142.2025,
57,283759N,SANTA CRUZ DE TENERIFE,33,C139E,LA PALMA AEROPUERTO,60005,174518W,28.633055555555558,-174.85222222222222,
58,282501N,LAS PALMAS,252,C248E,ANTIGUA,,140109W,28.416944444444447,-140.16916666666665,
59,284817N,STA. CRUZ DE TENERIFE,362,C148F,SAN ANDRÉS Y SAUCES,,174656W,28.804722222222225,-175.085,
60,282641N,LAS PALMAS,25,C249I,FUERTEVENTURA AEROPUERTO,60035,135147W,28.44472222222222,-135.23527777777775,
61,280742N,STA. CRUZ DE TENERIFE,916,C316I,ARURE,,171854W,28.128333333333334,-172.41777777777776,
62,280625N,STA. CRUZ DE TENERIFE,1474,C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",,171457W,28.106944444444444,-171.75194444444443,
63,283645N,LAS PALMAS,217,C258K,LA OLIVA,,135554W,28.6125,-135.91777777777776,
64,280315N,STA. CRUZ DE TENERIFE,190,C319W,"VALLEHERMOSO, DAMA",,171823W,28.054166666666667,-172.3675,
65,281044N,STA. CRUZ DE TENERIFE,765,C317B,AGULO,,171247W,28.17888888888889,-171.40194444444444,
66,280949N,STA. CRUZ DE TENERIFE,252,C328W,HERMIGUA,,171139W,28.16361111111111,-171.21916666666667,
67,280523N,STA. CRUZ DE TENERIFE,15,C329Z,SAN SEBASTIÁN DE LA GOMERA,60008,170641W,28.08972222222222,-171.06694444444443,
68,280154N,STA. CRUZ DE TENERIFE,219,C329B,"LA GOMERA, AEROPUERTO",60007,171239W,28.031666666666666,-171.38583333333332,
69,281327N,STA. CRUZ DE TENERIFE,2150,C406G,"LA OROTAVA, CAÑADAS TEIDE",,163734W,28.224166666666665,-164.21777777777777,
70,281311N,STA. CRUZ DE TENERIFE,2071,C412N,CITFAGRO_89_CHAVAO,,164219W,28.21972222222222,-164.3525,
71,281252N,STA. CRUZ DE TENERIFE,476,C418I,CITFAGRO_05_GUIAISO1,,164723W,28.214444444444442,-165.20083333333332,
