metric,value
total_inicial,2682447
nulos_inicial.fecha,0
nulos_inicial.indicativo,0
nulos_inicial.nombre,0
nulos_inicial.provincia,0
nulos_inicial.altitud,0
nulos_inicial.tmed,51774
nulos_inicial.prec,72378
nulos_inicial.tmin,51017
nulos_inicial.horatmin,67641
nulos_inicial.tmax,50385
nulos_inicial.horatmax,66323
nulos_inicial.hrMax,121910
nulos_inicial.horaHrMax,122850
nulos_inicial.hrMin,121728
nulos_inicial.horaHrMin,122637
nulos_inicial.hrMedia,159877
nulos_inicial.dir,549090
nulos_inicial.velmedia,540284
nulos_inicial.racha,549040
nulos_inicial.horaracha,549175
nulos_inicial.presMax,2025073
nulos_inicial.horaPresMax,2025097
nulos_inicial.presMin,2025085
nulos_inicial.horaPresMin,2025129
nulos_inicial.sol,2225510
nulos_inicial.year,0
duplicados,0
filas_eliminadas,4
total_final,2682443
nulos_final.fecha,0
nulos_final.indicativo,0
nulos_final.nombre,0
nulos_final.provincia,0
nulos_final.altitud,0
nulos_final.tmed,51774
nulos_final.prec,88813
nulos_final.tmin,51017
nulos_final.horatmin,67640
nulos_final.tmax,50385
nulos_final.horatmax,66322
nulos_final.hrMax,121909
nulos_final.horaHrMax,122849
nulos_final.hrMin,121727
nulos_final.horaHrMin,122636
nulos_final.hrMedia,159873
nulos_final.dir,549087
nulos_final.velmedia,540281
nulos_final.racha,549037
nulos_final.horaracha,549172
nulos_final.presMax,2025070
nulos_final.horaPresMax,2025094
nulos_final.presMin,2025082
nulos_final.horaPresMin,2025126
nulos_final.sol,2225506
nulos_final.year,0
