threshold,precision,recall,f1,accuracy,TP,FP,FN,TN
0.01,0.016686999663053204,1.0,0.03282622806934118,0.016686999663053204,28724.0,1692616.0,0.0,0.0
0.02,0.016686999663053204,1.0,0.03282622806934118,0.016686999663053204,28724.0,1692616.0,0.0,0.0
0.03,0.016686999663053204,1.0,0.03282622806934118,0.016686999663053204,28724.0,1692616.0,0.0,0.0
0.05,0.016686999663053204,1.0,0.03282622806934118,0.016686999663053204,28724.0,1692616.0,0.0,0.0
0.07,0.016686999663053204,1.0,0.03282622806934118,0.016686999663053204,28724.0,1692616.0,0.0,0.0
0.1,0.016686999663053204,1.0,0.03282622806934118,0.016686999663053204,28724.0,1692616.0,0.0,0.0
0.15,0.016687523165819045,1.0,0.03282724098716207,0.016718370571763858,28724.0,1692562.0,0.0,54.0
0.2,0.016722749056796167,0.9991644617741262,0.032894944207506056,0.019630636597069723,28700.0,1687525.0,24.0,5091.0
0.25,0.017045198686530816,0.988337278930511,0.03351243066934762,0.048730059139972345,28389.0,1637124.0,335.0,55492.0
0.3,0.01788120537221113,0.9516780392702966,0.03510285846363587,0.12695458189550002,27336.0,1501420.0,1388.0,191196.0
0.4,0.021819036521756523,0.7594694332265701,0.04241939294469548,0.42782425319808987,21815.0,978000.0,6909.0,714616.0
0.5,0.03175885508285013,0.5091212922991227,0.059788141309881,0.7327977041142366,14624.0,445846.0,14100.0,1246770.0
0.6,0.04725576595217257,0.32519844032864503,0.08252021926450835,0.8793317996444631,9341.0,188328.0,19383.0,1504288.0
0.65,0.055475729368401325,0.24731931485865477,0.09062380405634059,0.9171738296908223,7104.0,120952.0,21620.0,1571664.0
0.7,0.06783455945673302,0.1919649073945133,0.10024543223304747,0.9424971243333682,5514.0,75772.0,23210.0,1616844.0
0.75,0.08234346688141736,0.14238963932599916,0.1043447202587392,0.959209685477593,4090.0,45580.0,24634.0,1647036.0
0.8,0.10004708097928437,0.10357192591561064,0.10177899418355763,0.9694946959926569,2975.0,26761.0,25749.0,1665855.0
0.85,0.12437369188812074,0.06827043587244117,0.08815266008809965,0.9764317334169891,1961.0,13806.0,26763.0,1678810.0
0.9,0.15968322534197263,0.038608828853920064,0.06218284785076157,0.9805668839392566,1109.0,5836.0,27615.0,1686780.0
0.92,0.17396798652064024,0.028756440607157777,0.04935468451218483,0.9815144015708692,826.0,3922.0,27898.0,1688694.0
0.94,0.18172855734472554,0.01925219328784292,0.0348160040291654,0.9821877142226405,553.0,2490.0,28171.0,1690126.0
0.96,0.19317524580682466,0.011627906976744186,0.021935441499909312,0.9826966200750578,334.0,1395.0,28390.0,1691221.0
0.98,0.247395833333333,0.006614677621501184,0.012884850128797778,0.9830875945484332,190.0,578.0,28534.0,1692038.0
0.99,0.22072072072071974,0.0017058905444924106,0.003385614592674615,0.9832409634354631,49.0,173.0,28675.0,1692443.0
