metric,quantile,value
error,0.01,-10020.908799259798
abs_err,0.01,13.75605973836332
error,0.05,-2374.5387010837185
abs_err,0.05,68.728303669502
error,0.1,-1052.4034551916789
abs_err,0.1,137.3065427252193
error,0.25,-40.53505562597081
abs_err,0.25,312.2861484948953
error,0.5,356.5260990840649
abs_err,0.5,431.9039904420445
error,0.75,481.4570373227646
abs_err,0.75,629.5306229310402
error,0.9,664.0670327835218
abs_err,0.9,1728.4929250147954
error,0.95,1225.317782494133
abs_err,0.95,2877.496406242444
error,0.99,2800.820396917279
abs_err,0.99,9497.310864784908
