indicativo,tmax_informados,tmax_nulos,tmin_informados,tmin_nulos,tmed_informados,tmed_nulos,prec_informados,prec_nulos,n_total,tmax_pct,tmin_pct,tmed_pct,prec_pct
9808X,3085,7,3086,6,3085,7,3091,1,3092,99.77,99.81,99.77,99.97
4347X,3074,14,3074,14,3074,14,3072,16,3088,99.55,99.55,99.55,99.48
1159,3078,13,3078,13,3078,13,3090,1,3091,99.58,99.58,99.58,99.97
9060X,3036,11,3036,11,3036,11,3043,4,3047,99.64,99.64,99.64,99.87
9563X,3061,22,3061,22,3061,22,3010,73,3083,99.29,99.29,99.29,97.63
9924X,3089,9,3090,8,3087,11,3091,7,3098,99.71,99.74,99.64,99.77
9031C,3097,5,3081,21,3081,21,3061,41,3102,99.84,99.32,99.32,98.68
3200,3102,0,3102,0,3102,0,3102,0,3102,100.0,100.0,100.0,100.0
C929I,3100,2,3100,2,3100,2,3102,0,3102,99.94,99.94,99.94,100.0
C925F,2691,2,2692,1,2691,2,2692,1,2693,99.93,99.96,99.93,99.96
B684A,3064,22,3064,22,3063,23,3007,79,3086,99.29,99.29,99.25,97.44
1387E,3100,2,3099,3,3098,4,3095,7,3102,99.94,99.9,99.87,99.77
2482B,2983,20,2979,24,2979,24,2944,59,3003,99.33,99.2,99.2,98.04
9374X,3069,5,3063,11,3062,12,3070,4,3074,99.84,99.64,99.61,99.87
9724X,2922,43,2922,43,2922,43,2944,21,2965,98.55,98.55,98.55,99.29
2914C,3038,38,3034,42,3034,42,2990,86,3076,98.76,98.63,98.63,97.2
6332X,212,132,212,132,212,132,195,149,344,61.63,61.63,61.63,56.69
1135C,3087,4,3087,4,3087,4,3088,3,3091,99.87,99.87,99.87,99.9
2512Y,3073,1,3072,2,3072,2,3070,4,3074,99.97,99.93,99.93,99.87
4064Y,3072,15,3071,16,3071,16,3072,15,3087,99.51,99.48,99.48,99.51
B644B,3070,21,3070,21,3070,21,3079,12,3091,99.32,99.32,99.32,99.61
7237E,3087,13,3076,24,3076,24,3096,4,3100,99.58,99.23,99.23,99.87
1052A,3086,6,3086,6,3086,6,3080,12,3092,99.81,99.81,99.81,99.61
1024E,3102,0,3102,0,3102,0,3102,0,3102,100.0,100.0,100.0,100.0
0016B,3070,1,3057,14,3057,14,3071,0,3071,99.97,99.54,99.54,100.0
9228J,3090,6,3088,8,3085,11,3093,3,3096,99.81,99.74,99.64,99.9
4575X,2956,14,2954,16,2954,16,2938,32,2970,99.53,99.46,99.46,98.92
3298X,1815,1031,1815,1031,1815,1031,2775,71,2846,63.77,63.77,63.77,97.51
8409X,3067,32,3067,32,3067,32,3095,4,3099,98.97,98.97,98.97,99.87
5394X,3040,52,3040,52,3040,52,3061,31,3092,98.32,98.32,98.32,99.0
C611E,3040,32,3040,32,3040,32,3025,47,3072,98.96,98.96,98.96,98.47
9299X,3096,1,3094,3,3094,3,3095,2,3097,99.97,99.9,99.9,99.94
4386B,3081,21,3081,21,3081,21,3079,23,3102,99.32,99.32,99.32,99.26
0421X,3096,5,3096,5,3096,5,3099,2,3101,99.84,99.84,99.84,99.94
5769X,3063,31,3061,33,3061,33,3044,50,3094,99.0,98.93,98.93,98.38
5656,2993,79,2993,79,2993,79,3051,21,3072,97.43,97.43,97.43,99.32
5000C,3100,2,3100,2,3100,2,3102,0,3102,99.94,99.94,99.94,100.0
C457E,3043,22,3043,22,3043,22,3023,42,3065,99.28,99.28,99.28,98.63
1735X,2928,31,2926,33,2926,33,2906,53,2959,98.95,98.88,98.88,98.21
8500A,3101,1,3102,0,3101,1,3102,0,3102,99.97,100.0,99.97,100.0
1154H,3069,29,3069,29,3069,29,3002,96,3098,99.06,99.06,99.06,96.9
9990X,2717,134,2717,134,2717,134,2623,228,2851,95.3,95.3,95.3,92.0
1276F,3075,27,3075,27,3075,27,3078,24,3102,99.13,99.13,99.13,99.23
1010X,3089,13,3089,13,3089,13,3064,38,3102,99.58,99.58,99.58,98.77
9590D,1696,844,1696,844,1696,844,0,2540,2540,66.77,66.77,66.77,0.0
C129V,3082,20,3082,20,3082,20,3078,24,3102,99.36,99.36,99.36,99.23
6058I,2927,71,2927,71,2927,71,2871,127,2998,97.63,97.63,97.63,95.76
9434P,3092,5,3090,7,3090,7,3088,9,3097,99.84,99.77,99.77,99.71
1639X,3080,10,3080,10,3080,10,3069,21,3090,99.68,99.68,99.68,99.32
9718X,2939,41,2939,41,2939,41,2855,125,2980,98.62,98.62,98.62,95.81
1442U,3064,24,3065,23,3064,24,3063,25,3088,99.22,99.26,99.22,99.19
C430E,3102,0,3102,0,3102,0,3102,0,3102,100.0,100.0,100.0,100.0
C422A,3069,12,3069,12,3069,12,3065,16,3081,99.61,99.61,99.61,99.48
B398A,1315,3,1314,4,1314,4,1216,102,1318,99.77,99.7,99.7,92.26
8520X,2738,290,2738,290,2738,290,2973,55,3028,90.42,90.42,90.42,98.18
1111,2691,0,2691,0,2691,0,2690,1,2691,100.0,100.0,100.0,99.96
1390X,3048,10,3048,10,3048,10,3014,44,3058,99.67,99.67,99.67,98.56
2945A,3030,1,3029,2,3029,2,3019,12,3031,99.97,99.93,99.93,99.6
5995B,3058,43,3057,44,3057,44,3075,26,3101,98.61,98.58,98.58,99.16
5346X,3066,5,3066,5,3066,5,3057,14,3071,99.84,99.84,99.84,99.54
9451F,2025,5,2026,4,2025,5,1999,31,2030,99.75,99.8,99.75,98.47
3330Y,2997,42,2997,42,2997,42,2987,52,3039,98.62,98.62,98.62,98.29
9812M,870,1,870,1,870,1,0,871,871,99.89,99.89,99.89,0.0
C117A,3097,4,3097,4,3097,4,3100,1,3101,99.87,99.87,99.87,99.97
5625X,3060,26,3060,26,3060,26,3064,22,3086,99.16,99.16,99.16,99.29
3434X,3086,16,3086,16,3086,16,3102,0,3102,99.48,99.48,99.48,100.0
3423I,3093,9,3093,9,3093,9,3085,17,3102,99.71,99.71,99.71,99.45
5624X,3097,2,3097,2,3097,2,3014,85,3099,99.94,99.94,99.94,97.26
1541B,2968,8,2966,10,2965,11,2914,62,2976,99.73,99.66,99.63,97.92
C029O,3088,14,3088,14,3088,14,3102,0,3102,99.55,99.55,99.55,100.0
4520X,3094,8,3094,8,3094,8,3083,19,3102,99.74,99.74,99.74,99.39
1064L,3074,23,3074,23,3074,23,3094,3,3097,99.26,99.26,99.26,99.9
4325Y,1618,4,1618,4,1618,4,1622,0,1622,99.75,99.75,99.75,100.0
1056K,3096,3,3096,3,3096,3,3096,3,3099,99.9,99.9,99.9,99.9
0349,2556,86,2556,86,2556,86,2415,227,2642,96.74,96.74,96.74,91.41
7158X,3090,12,3090,12,3087,15,2948,154,3102,99.61,99.61,99.52,95.04
C419X,3095,6,3094,7,3094,7,3100,1,3101,99.81,99.77,99.77,99.97
5530E,3100,2,3100,2,3100,2,3102,0,3102,99.94,99.94,99.94,100.0
1174I,3086,14,3086,14,3086,14,3092,8,3100,99.55,99.55,99.55,99.74
2891A,3087,3,3086,4,3086,4,2881,209,3090,99.9,99.87,99.87,93.24
5860E,2999,21,2999,21,2999,21,2955,65,3020,99.3,99.3,99.3,97.85
2536D,3088,3,3087,4,3087,4,3086,5,3091,99.9,99.87,99.87,99.84
B800X,2811,137,2810,138,2810,138,2821,127,2948,95.35,95.32,95.32,95.69
C928I,1836,1,1836,1,1836,1,1778,59,1837,99.95,99.95,99.95,96.79
6299I,379,6,379,6,379,6,0,385,385,98.44,98.44,98.44,0.0
4061X,1879,1126,1879,1126,1879,1126,2980,25,3005,62.53,62.53,62.53,99.17
2135A,2966,14,2968,12,2963,17,2950,30,2980,99.53,99.6,99.43,98.99
6258X,3062,39,3062,39,3062,39,3100,1,3101,98.74,98.74,98.74,99.97
1186P,3077,13,3077,13,3077,13,3048,42,3090,99.58,99.58,99.58,98.64
8155Y,2941,23,2941,23,2941,23,2934,30,2964,99.22,99.22,99.22,98.99
2362C,3102,0,3102,0,3102,0,2855,247,3102,100.0,100.0,100.0,92.04
4358X,3068,23,3068,23,3068,23,3086,5,3091,99.26,99.26,99.26,99.84
2471Y,3055,2,3055,2,3055,2,3024,33,3057,99.93,99.93,99.93,98.92
9198X,3095,4,3095,4,3095,4,3071,28,3099,99.87,99.87,99.87,99.1
8523X,1364,13,1363,14,1363,14,1273,104,1377,99.06,98.98,98.98,92.45
B103B,2535,30,2537,28,2535,30,2554,11,2565,98.83,98.91,98.83,99.57
2966D,3094,0,3093,1,3093,1,3051,43,3094,100.0,99.97,99.97,98.61
C117Z,3037,8,3003,42,3003,42,3043,2,3045,99.74,98.62,98.62,99.93
6205X,1893,656,1893,656,1893,656,2127,422,2549,74.26,74.26,74.26,83.44
3526X,3062,28,3062,28,3062,28,3076,14,3090,99.09,99.09,99.09,99.55
4527X,3080,8,3080,8,3080,8,3077,11,3088,99.74,99.74,99.74,99.64
8178D,3102,0,3102,0,3102,0,3102,0,3102,100.0,100.0,100.0,100.0
1083B,3100,2,3100,2,3100,2,3077,25,3102,99.94,99.94,99.94,99.19
4096Y,2924,61,2924,61,2924,61,2726,259,2985,97.96,97.96,97.96,91.32
2882D,2947,102,2944,105,2944,105,2959,90,3049,96.65,96.56,96.56,97.05
8414A,3102,0,3102,0,3102,0,3102,0,3102,100.0,100.0,100.0,100.0
2285B,2488,6,2487,7,2487,7,2485,9,2494,99.76,99.72,99.72,99.64
9998X,3021,23,3013,31,3013,31,3021,23,3044,99.24,98.98,98.98,99.24
2276B,3053,2,3044,11,3043,12,3030,25,3055,99.93,99.64,99.61,99.18
1700X,3039,45,3039,45,3039,45,3070,14,3084,98.54,98.54,98.54,99.55
1109,2651,451,2651,451,2651,451,3101,1,3102,85.46,85.46,85.46,99.97
9001S,2920,76,2920,76,2920,76,2757,239,2996,97.46,97.46,97.46,92.02
8354X,3071,5,3072,4,3071,5,3068,8,3076,99.84,99.87,99.84,99.74
1074C,3092,0,3092,0,3092,0,3092,0,3092,100.0,100.0,100.0,100.0
6000A,3091,11,3091,11,3091,11,3102,0,3102,99.65,99.65,99.65,100.0
7203A,3067,20,3055,32,3053,34,3067,20,3087,99.35,98.96,98.9,99.35
3391,2300,41,2283,58,2276,65,2076,265,2341,98.25,97.52,97.22,88.68
9445L,1460,24,1458,26,1457,27,1455,29,1484,98.38,98.25,98.18,98.05
7007Y,2782,9,2779,12,2779,12,2791,0,2791,99.68,99.57,99.57,100.0
9814X,3052,41,3052,41,3052,41,3061,32,3093,98.67,98.67,98.67,98.97
6267X,2850,242,2850,242,2850,242,3088,4,3092,92.17,92.17,92.17,99.87
C467I,2953,34,2953,34,2953,34,2915,72,2987,98.86,98.86,98.86,97.59
5459X,2935,101,2935,101,2935,101,2973,63,3036,96.67,96.67,96.67,97.92
1406X,3088,7,3089,6,3088,7,2976,119,3095,99.77,99.81,99.77,96.16
4116I,3099,3,3098,4,3098,4,3102,0,3102,99.9,99.87,99.87,100.0
1057B,2679,305,2679,305,2679,305,2969,15,2984,89.78,89.78,89.78,99.5
C468O,3061,24,3063,22,3061,24,3037,48,3085,99.22,99.29,99.22,98.44
8325X,2917,158,2917,158,2917,158,2932,143,3075,94.86,94.86,94.86,95.35
5598X,3073,8,3074,7,3073,8,3069,12,3081,99.74,99.77,99.74,99.61
5390Y,3015,2,3015,2,3015,2,2982,35,3017,99.93,99.93,99.93,98.84
B603X,3002,62,3001,63,3001,63,2999,65,3064,97.98,97.94,97.94,97.88
4436Y,3087,0,3087,0,3087,0,3087,0,3087,100.0,100.0,100.0,100.0
C415A,3074,12,3074,12,3074,12,3068,18,3086,99.61,99.61,99.61,99.42
9302Y,3078,7,3070,15,3070,15,3077,8,3085,99.77,99.51,99.51,99.74
7121A,3096,0,3093,3,3093,3,3091,5,3096,100.0,99.9,99.9,99.84
1302F,3031,13,3031,13,3031,13,2774,270,3044,99.57,99.57,99.57,91.13
9744B,3055,9,3054,10,3054,10,2945,119,3064,99.71,99.67,99.67,96.12
C126A,3079,2,3079,2,3079,2,3079,2,3081,99.94,99.94,99.94,99.94
C839X,2946,56,2946,56,2946,56,2962,40,3002,98.13,98.13,98.13,98.67
4410X,3048,53,3048,53,3048,53,3094,7,3101,98.29,98.29,98.29,99.77
4210Y,2977,44,2977,44,2977,44,2647,374,3021,98.54,98.54,98.54,87.62
2777K,3075,5,3066,14,3065,15,3053,27,3080,99.84,99.55,99.51,99.12
9585,3048,23,3048,23,3048,23,3025,46,3071,99.25,99.25,99.25,98.5
6076X,2997,91,2997,91,2997,91,2687,401,3088,97.05,97.05,97.05,87.01
4560Y,3087,5,3087,5,3087,5,3054,38,3092,99.84,99.84,99.84,98.77
9257X,3081,17,3081,17,3081,17,3092,6,3098,99.45,99.45,99.45,99.81
9436X,3095,2,3092,5,3091,6,3095,2,3097,99.94,99.84,99.81,99.94
9211F,3092,4,3090,6,3090,6,3093,3,3096,99.87,99.81,99.81,99.9
0421E,2674,362,2674,362,2674,362,3005,31,3036,88.08,88.08,88.08,98.98
1014A,3097,5,3097,5,3097,5,3102,0,3102,99.84,99.84,99.84,100.0
9776D,2716,78,2716,78,2716,78,2735,59,2794,97.21,97.21,97.21,97.89
0149D,2947,1,2948,0,2947,1,2946,2,2948,99.97,100.0,99.97,99.93
5181D,2786,96,2786,96,2786,96,2850,32,2882,96.67,96.67,96.67,98.89
